2025-11-24 22:06:52,108:INFO:Epoch 1, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=3.5220, test_accuracy=2.2900, train_loss=0.0708, test_loss=0.2855
2025-11-24 22:19:09,184:INFO:Epoch 19, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=45.4680, test_accuracy=37.1000, train_loss=0.0316, test_loss=0.1597
2025-11-24 22:19:45,859:INFO:Epoch 20, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=47.4300, test_accuracy=42.1800, train_loss=0.0304, test_loss=0.1381
2025-11-24 22:20:23,337:INFO:Epoch 21, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=49.6640, test_accuracy=41.9600, train_loss=0.0289, test_loss=0.1397
2025-11-24 22:21:01,773:INFO:Epoch 22, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=51.5000, test_accuracy=42.9100, train_loss=0.0277, test_loss=0.1362
2025-11-24 22:21:39,608:INFO:Epoch 23, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=53.1760, test_accuracy=42.3100, train_loss=0.0265, test_loss=0.1398
2025-11-24 22:22:16,650:INFO:Epoch 24, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=55.2900, test_accuracy=41.7900, train_loss=0.0252, test_loss=0.1415
2025-11-24 22:22:55,438:INFO:Epoch 25, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=57.7140, test_accuracy=43.0300, train_loss=0.0240, test_loss=0.1374
2025-11-24 22:23:33,842:INFO:Epoch 26, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=59.3100, test_accuracy=43.6300, train_loss=0.0229, test_loss=0.1382
2025-11-24 22:24:11,336:INFO:Epoch 27, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=61.6100, test_accuracy=45.6500, train_loss=0.0217, test_loss=0.1335
2025-11-24 22:24:49,150:INFO:Epoch 28, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=63.4140, test_accuracy=45.0300, train_loss=0.0204, test_loss=0.1373
2025-11-24 22:25:27,450:INFO:Epoch 29, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=65.0700, test_accuracy=42.8100, train_loss=0.0194, test_loss=0.1465
2025-11-24 22:26:04,856:INFO:Epoch 30, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=67.4100, test_accuracy=44.8200, train_loss=0.0182, test_loss=0.1372
2025-11-24 22:26:04,857:INFO:=== Summary for FedAvg (IID) ===
2025-11-24 22:26:04,857:INFO:Training time: 1194.63s, Final accuracy: 44.82%, Total comm cost: 3.37e+09, Convergence epoch: 11
2025-11-24 22:27:26,432:INFO:Epoch 1, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=3.3860, test_accuracy=1.0000, train_loss=0.0708, test_loss=0.2878
2025-11-24 22:28:07,775:INFO:Epoch 2, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.1880, test_accuracy=1.0000, train_loss=0.0723, test_loss=0.2878
2025-11-24 22:28:45,389:INFO:Epoch 3, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.4760, test_accuracy=3.0300, train_loss=0.0711, test_loss=0.2824
2025-11-24 22:29:22,222:INFO:Epoch 4, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.5380, test_accuracy=2.8100, train_loss=0.0704, test_loss=0.2806
2025-11-24 22:29:59,013:INFO:Epoch 5, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.4980, test_accuracy=2.9600, train_loss=0.0700, test_loss=0.2800
2025-11-24 22:30:36,795:INFO:Epoch 6, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.4840, test_accuracy=2.8400, train_loss=0.0697, test_loss=0.2762
2025-11-24 22:31:18,051:INFO:Epoch 7, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.4000, test_accuracy=2.8400, train_loss=0.0695, test_loss=0.2767
2025-11-24 22:31:56,083:INFO:Epoch 8, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.4540, test_accuracy=3.0300, train_loss=0.0693, test_loss=0.2785
2025-11-24 22:32:34,364:INFO:Epoch 9, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.6080, test_accuracy=2.9400, train_loss=0.0692, test_loss=0.2787
2025-11-24 22:33:26,342:INFO:Epoch 10, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.5400, test_accuracy=2.7800, train_loss=0.0690, test_loss=0.2781
2025-11-24 22:34:18,922:INFO:Epoch 11, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.6400, test_accuracy=3.1000, train_loss=0.0689, test_loss=0.2768
2025-11-24 22:35:10,426:INFO:Epoch 12, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.6540, test_accuracy=3.3800, train_loss=0.0688, test_loss=0.2776
2025-11-24 22:36:01,303:INFO:Epoch 13, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.6400, test_accuracy=3.1100, train_loss=0.0687, test_loss=0.2777
2025-11-24 22:36:51,926:INFO:Epoch 14, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.6760, test_accuracy=3.4000, train_loss=0.0686, test_loss=0.2775
2025-11-24 22:37:44,245:INFO:Epoch 15, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.7180, test_accuracy=3.5700, train_loss=0.0685, test_loss=0.2767
2025-11-24 22:38:37,034:INFO:Epoch 16, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.6920, test_accuracy=3.3200, train_loss=0.0684, test_loss=0.2767
2025-11-24 22:39:30,822:INFO:Epoch 17, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.6700, test_accuracy=3.9600, train_loss=0.0684, test_loss=0.2768
2025-11-24 22:40:28,979:INFO:Epoch 18, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.8380, test_accuracy=3.7300, train_loss=0.0683, test_loss=0.2780
2025-11-24 22:41:25,858:INFO:Epoch 19, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.7640, test_accuracy=3.8400, train_loss=0.0682, test_loss=0.2763
2025-11-24 22:42:22,531:INFO:Epoch 20, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=2.8380, test_accuracy=4.4700, train_loss=0.0682, test_loss=0.2775
2025-11-24 22:43:15,184:INFO:Epoch 21, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=3.0360, test_accuracy=4.5200, train_loss=0.0681, test_loss=0.2771
2025-11-24 22:44:08,281:INFO:Epoch 22, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=3.1120, test_accuracy=4.5300, train_loss=0.0681, test_loss=0.2774
2025-11-24 22:45:01,696:INFO:Epoch 23, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=3.1920, test_accuracy=3.6400, train_loss=0.0680, test_loss=0.2783
2025-11-24 22:45:40,134:INFO:Epoch 24, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=3.1740, test_accuracy=4.3600, train_loss=0.0680, test_loss=0.2778
2025-11-24 22:46:20,177:INFO:Epoch 25, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=3.3400, test_accuracy=4.5100, train_loss=0.0679, test_loss=0.2772
2025-11-24 22:46:59,210:INFO:Epoch 26, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=3.3360, test_accuracy=4.4200, train_loss=0.0679, test_loss=0.2768
2025-11-24 22:47:39,666:INFO:Epoch 27, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=3.5180, test_accuracy=3.9300, train_loss=0.0678, test_loss=0.2778
2025-11-24 22:48:18,425:INFO:Epoch 28, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=3.4980, test_accuracy=4.4500, train_loss=0.0677, test_loss=0.2775
2025-11-24 22:48:57,669:INFO:Epoch 29, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=3.5700, test_accuracy=4.9600, train_loss=0.0676, test_loss=0.2778
2025-11-24 22:49:38,860:INFO:Epoch 30, client_count 10, Algo: FedAvgDP, data_type: IID: train_accuracy=3.6400, test_accuracy=4.9600, train_loss=0.0676, test_loss=0.2772
2025-11-24 22:49:38,860:INFO:=== Summary for FedAvgDP (IID) ===
2025-11-24 22:49:38,861:INFO:Training time: 1371.06s, Final accuracy: 4.96%, Total comm cost: 3.37e+09, Convergence epoch: None
2025-11-24 22:51:05,641:INFO:Epoch 1, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=1.6320, test_accuracy=1.6200, train_loss=0.0744, test_loss=0.2883
2025-11-24 22:51:47,953:INFO:Epoch 2, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=2.4720, test_accuracy=1.4400, train_loss=0.0740, test_loss=0.2845
2025-11-24 22:52:31,588:INFO:Epoch 3, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=3.0500, test_accuracy=2.8700, train_loss=0.0729, test_loss=0.2774
2025-11-24 22:53:12,088:INFO:Epoch 4, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=3.5940, test_accuracy=4.3100, train_loss=0.0718, test_loss=0.2688
2025-11-24 22:53:52,627:INFO:Epoch 5, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=4.1740, test_accuracy=5.3500, train_loss=0.0707, test_loss=0.2633
2025-11-24 22:54:35,453:INFO:Epoch 6, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=4.7620, test_accuracy=5.1300, train_loss=0.0693, test_loss=0.2606
2025-11-24 22:55:15,092:INFO:Epoch 7, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=5.2920, test_accuracy=6.4500, train_loss=0.0683, test_loss=0.2566
2025-11-24 22:55:54,737:INFO:Epoch 8, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=5.6500, test_accuracy=6.3700, train_loss=0.0675, test_loss=0.2564
2025-11-24 22:56:33,889:INFO:Epoch 9, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=6.0960, test_accuracy=7.9200, train_loss=0.0667, test_loss=0.2492
2025-11-24 22:57:13,209:INFO:Epoch 10, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=6.4460, test_accuracy=8.9000, train_loss=0.0661, test_loss=0.2446
2025-11-24 22:57:52,575:INFO:Epoch 11, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=7.0380, test_accuracy=8.4800, train_loss=0.0656, test_loss=0.2460
2025-11-24 22:58:31,940:INFO:Epoch 12, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=7.4340, test_accuracy=9.2300, train_loss=0.0648, test_loss=0.2429
2025-11-24 22:59:11,400:INFO:Epoch 13, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=7.5860, test_accuracy=10.6900, train_loss=0.0646, test_loss=0.2376
2025-11-24 22:59:50,740:INFO:Epoch 14, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=7.8640, test_accuracy=10.6800, train_loss=0.0639, test_loss=0.2383
2025-11-24 23:00:30,093:INFO:Epoch 15, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=8.3800, test_accuracy=8.9700, train_loss=0.0634, test_loss=0.2416
2025-11-24 23:01:09,461:INFO:Epoch 16, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=8.5200, test_accuracy=11.4500, train_loss=0.0633, test_loss=0.2355
2025-11-24 23:01:48,934:INFO:Epoch 17, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=9.0820, test_accuracy=10.8100, train_loss=0.0627, test_loss=0.2343
2025-11-24 23:02:28,231:INFO:Epoch 18, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=9.3280, test_accuracy=9.9400, train_loss=0.0625, test_loss=0.2389
2025-11-24 23:03:07,601:INFO:Epoch 19, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=9.6020, test_accuracy=11.8900, train_loss=0.0620, test_loss=0.2325
2025-11-24 23:03:46,935:INFO:Epoch 20, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=9.8540, test_accuracy=12.1800, train_loss=0.0615, test_loss=0.2316
2025-11-24 23:04:26,382:INFO:Epoch 21, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=10.2540, test_accuracy=11.9400, train_loss=0.0612, test_loss=0.2310
2025-11-24 23:05:05,697:INFO:Epoch 22, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=10.8300, test_accuracy=13.3000, train_loss=0.0612, test_loss=0.2272
2025-11-24 23:05:45,071:INFO:Epoch 23, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=10.7800, test_accuracy=13.4600, train_loss=0.0608, test_loss=0.2292
2025-11-24 23:06:24,509:INFO:Epoch 24, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=11.2620, test_accuracy=12.8800, train_loss=0.0603, test_loss=0.2279
2025-11-24 23:07:03,925:INFO:Epoch 25, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=11.4200, test_accuracy=14.4900, train_loss=0.0602, test_loss=0.2264
2025-11-24 23:07:43,281:INFO:Epoch 26, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=11.9080, test_accuracy=14.8000, train_loss=0.0595, test_loss=0.2226
2025-11-24 23:08:22,703:INFO:Epoch 27, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=12.1660, test_accuracy=15.2400, train_loss=0.0595, test_loss=0.2225
2025-11-24 23:09:02,340:INFO:Epoch 28, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=12.4220, test_accuracy=16.5800, train_loss=0.0592, test_loss=0.2193
2025-11-24 23:09:41,704:INFO:Epoch 29, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=13.0700, test_accuracy=15.1900, train_loss=0.0586, test_loss=0.2209
2025-11-24 23:10:20,965:INFO:Epoch 30, client_count 10, Algo: FedADMM, data_type: IID: train_accuracy=13.2980, test_accuracy=17.1600, train_loss=0.0585, test_loss=0.2165
2025-11-24 23:10:20,966:INFO:=== Summary for FedADMM (IID) ===
2025-11-24 23:10:20,966:INFO:Training time: 1198.99s, Final accuracy: 17.16%, Total comm cost: 3.37e+09, Convergence epoch: None
2025-11-24 23:11:38,332:INFO:Epoch 1, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=3.7640, test_accuracy=2.3200, train_loss=0.0704, test_loss=0.5120
2025-11-24 23:12:17,851:INFO:Epoch 2, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=7.4260, test_accuracy=2.8000, train_loss=0.0649, test_loss=0.4221
2025-11-24 23:12:57,381:INFO:Epoch 3, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=10.3160, test_accuracy=2.4600, train_loss=0.0612, test_loss=0.4110
2025-11-24 23:13:36,930:INFO:Epoch 4, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=12.4040, test_accuracy=2.7700, train_loss=0.0587, test_loss=0.6169
2025-11-24 23:14:16,313:INFO:Epoch 5, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=14.7980, test_accuracy=3.5400, train_loss=0.0574, test_loss=0.4429
2025-11-24 23:14:55,672:INFO:Epoch 6, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=17.0180, test_accuracy=4.0700, train_loss=0.0549, test_loss=0.4035
2025-11-24 23:15:35,268:INFO:Epoch 7, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=18.2220, test_accuracy=5.4900, train_loss=0.0540, test_loss=0.3529
2025-11-24 23:16:14,780:INFO:Epoch 8, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=17.8440, test_accuracy=4.2900, train_loss=0.0542, test_loss=0.4530
2025-11-24 23:16:54,193:INFO:Epoch 9, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=10.7920, test_accuracy=2.3700, train_loss=0.0607, test_loss=0.4616
2025-11-24 23:17:33,665:INFO:Epoch 10, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=4.1700, test_accuracy=1.5000, train_loss=0.0715, test_loss=0.6467
2025-11-24 23:18:13,016:INFO:Epoch 11, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=2.1200, test_accuracy=1.2500, train_loss=0.0896, test_loss=0.5673
2025-11-24 23:18:52,468:INFO:Epoch 12, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.6120, test_accuracy=2.1600, train_loss=0.1929, test_loss=1.1612
2025-11-24 23:19:32,012:INFO:Epoch 13, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.6840, test_accuracy=1.0900, train_loss=0.8742, test_loss=10.3963
2025-11-24 23:20:11,404:INFO:Epoch 14, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.6040, test_accuracy=1.5500, train_loss=5.8708, test_loss=39.8760
2025-11-24 23:20:50,885:INFO:Epoch 15, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.3080, test_accuracy=1.3000, train_loss=38.4320, test_loss=290.1579
2025-11-24 23:21:30,404:INFO:Epoch 16, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.4460, test_accuracy=1.3100, train_loss=261.5292, test_loss=1829.8344
2025-11-24 23:22:09,782:INFO:Epoch 17, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.5080, test_accuracy=1.9000, train_loss=1852.5736, test_loss=14254.4238
2025-11-24 23:22:49,109:INFO:Epoch 18, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.4100, test_accuracy=1.1700, train_loss=11923.6778, test_loss=114759.3255
2025-11-24 23:23:28,726:INFO:Epoch 19, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.5500, test_accuracy=1.0100, train_loss=93401.0231, test_loss=850561.4779
2025-11-24 23:24:08,200:INFO:Epoch 20, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.3160, test_accuracy=1.2500, train_loss=529960.6385, test_loss=3536724.3904
2025-11-24 23:24:47,681:INFO:Epoch 21, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.3700, test_accuracy=1.8800, train_loss=3973892.2666, test_loss=26446852.0320
2025-11-24 23:25:27,325:INFO:Epoch 22, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.5400, test_accuracy=0.9900, train_loss=26362366.2675, test_loss=286895790.3360
2025-11-24 23:26:06,844:INFO:Epoch 23, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.4100, test_accuracy=1.0700, train_loss=184223823.9488, test_loss=1265121228.2880
2025-11-24 23:26:46,346:INFO:Epoch 24, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.5400, test_accuracy=1.5500, train_loss=1203224238.1619, test_loss=7860924020.3264
2025-11-24 23:27:25,960:INFO:Epoch 25, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.4200, test_accuracy=1.2700, train_loss=8706212429.9878, test_loss=82725203214.3360
2025-11-24 23:28:05,355:INFO:Epoch 26, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.3060, test_accuracy=1.1400, train_loss=57159109391.1552, test_loss=401932060878.4384
2025-11-24 23:28:44,690:INFO:Epoch 27, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.5400, test_accuracy=1.8800, train_loss=387337481218.9492, test_loss=2582541542359.0400
2025-11-24 23:29:24,070:INFO:Epoch 28, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.3780, test_accuracy=1.4100, train_loss=2794043954335.5806, test_loss=19878202557281.0742
2025-11-24 23:30:03,470:INFO:Epoch 29, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.3240, test_accuracy=1.8800, train_loss=19028833255429.2422, test_loss=141558524947097.1875
2025-11-24 23:30:42,914:INFO:Epoch 30, client_count 10, Algo: FedRP (m=10), data_type: IID: train_accuracy=1.3820, test_accuracy=1.5600, train_loss=120783987117937.1250, test_loss=835194714915130.6250
2025-11-24 23:30:42,914:INFO:=== Summary for FedRP (m=10) (IID) ===
2025-11-24 23:30:42,914:INFO:Training time: 1184.40s, Final accuracy: 1.56%, Total comm cost: 3.00e+03, Convergence epoch: None
2025-11-24 23:32:44,223:INFO:Epoch 1, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=3.5700, test_accuracy=2.0800, train_loss=0.0707, test_loss=0.4730
2025-11-24 23:33:58,586:INFO:Epoch 2, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=7.3100, test_accuracy=2.3200, train_loss=0.0645, test_loss=0.3814
2025-11-24 23:35:08,793:INFO:Epoch 3, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=10.0660, test_accuracy=2.6800, train_loss=0.0611, test_loss=0.6602
2025-11-24 23:36:19,035:INFO:Epoch 4, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=12.5180, test_accuracy=2.3000, train_loss=0.0590, test_loss=0.4424
2025-11-24 23:37:29,340:INFO:Epoch 5, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=14.7320, test_accuracy=4.6100, train_loss=0.0570, test_loss=0.4115
2025-11-24 23:38:39,868:INFO:Epoch 6, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=16.4840, test_accuracy=2.8300, train_loss=0.0550, test_loss=0.5040
2025-11-24 23:39:50,210:INFO:Epoch 7, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=15.6180, test_accuracy=2.3200, train_loss=0.0560, test_loss=0.6361
2025-11-24 23:41:00,399:INFO:Epoch 8, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=9.7820, test_accuracy=3.7400, train_loss=0.0615, test_loss=0.4795
2025-11-24 23:42:10,311:INFO:Epoch 9, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=3.8500, test_accuracy=1.8500, train_loss=0.0719, test_loss=0.4245
2025-11-24 23:43:20,480:INFO:Epoch 10, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=2.2380, test_accuracy=1.9300, train_loss=0.0905, test_loss=0.6393
2025-11-24 23:44:30,340:INFO:Epoch 11, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=1.7260, test_accuracy=1.5200, train_loss=0.1875, test_loss=1.3237
2025-11-24 23:45:40,470:INFO:Epoch 12, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=1.6260, test_accuracy=1.2500, train_loss=0.9658, test_loss=10.3828
2025-11-24 23:46:54,428:INFO:Epoch 13, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=1.4440, test_accuracy=1.3900, train_loss=6.2967, test_loss=43.5853
2025-11-24 23:48:04,378:INFO:Epoch 14, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=1.1580, test_accuracy=1.9400, train_loss=42.7696, test_loss=438.8828
2025-11-24 23:49:14,460:INFO:Epoch 15, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=1.3300, test_accuracy=1.4300, train_loss=274.9691, test_loss=1949.4204
2025-11-24 23:50:24,677:INFO:Epoch 16, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=1.2720, test_accuracy=1.6800, train_loss=1989.3824, test_loss=13848.9510
2025-11-24 23:51:35,013:INFO:Epoch 17, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=1.4800, test_accuracy=1.7600, train_loss=14507.8989, test_loss=101533.6650
2025-11-24 23:52:44,897:INFO:Epoch 18, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=1.3880, test_accuracy=1.0500, train_loss=82434.0333, test_loss=778769.8788
2025-11-24 23:53:54,785:INFO:Epoch 19, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=1.6120, test_accuracy=1.3600, train_loss=599536.1574, test_loss=4012861.6776
2025-11-24 23:55:05,050:INFO:Epoch 20, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=1.7860, test_accuracy=2.0200, train_loss=4374219.1231, test_loss=30014123.0592
2025-11-24 23:56:15,201:INFO:Epoch 21, client_count 10, Algo: FedRP (m=100), data_type: IID: train_accuracy=1.5640, test_accuracy=1.8400, train_loss=29390266.5037, test_loss=198598116.7616
